"BAND_NUMBER","DATE"
1,"2016-01-04"
2,"2016-01-11"
3,"2016-01-18"
4,"2016-01-25"
5,"2016-02-01"
6,"2016-02-08"
7,"2016-02-15"
8,"2016-02-22"
9,"2016-03-01"
10,"2016-03-08"
11,"2016-03-15"
12,"2016-03-22"
13,"2016-03-29"
14,"2016-04-05"
15,"2016-04-12"
16,"2016-04-19"
17,"2016-04-26"
18,"2016-05-03"
19,"2016-05-10"
20,"2016-05-17"
21,"2016-05-24"
22,"2016-05-31"
23,"2016-06-07"
24,"2016-06-14"
25,"2016-06-21"
26,"2016-06-28"
27,"2016-07-06"
28,"2016-07-13"
29,"2016-07-20"
30,"2016-07-27"
31,"2016-08-03"
32,"2016-08-10"
33,"2016-08-17"
34,"2016-08-24"
35,"2016-08-31"
36,"2016-09-07"
37,"2016-09-14"
38,"2016-09-21"
39,"2016-09-28"
40,"2016-10-05"
41,"2016-10-12"
42,"2016-10-19"
43,"2016-10-26"
44,"2016-11-02"
45,"2016-11-09"
46,"2016-11-16"
47,"2016-11-23"
48,"2016-11-30"
49,"2016-12-07"
50,"2016-12-14"
51,"2016-12-21"
52,"2016-12-28"
